ds,ERCOT_demand_COAST,ERCOT_demand_COAST_holiday,ERCOT_demand_EAST,ERCOT_demand_EAST_holiday,ERCOT_demand_FWEST,ERCOT_demand_FWEST_holiday,ERCOT_demand_NORTH,ERCOT_demand_NORTH_holiday,ERCOT_demand_NCENT,ERCOT_demand_NCENT_holiday,ERCOT_demand_SOUTH,ERCOT_demand_SOUTH_holiday,ERCOT_demand_SCENT,ERCOT_demand_SCENT_holiday,ERCOT_demand_WEST,ERCOT_demand_WEST_holiday,ERCOT_demand_ERCOT,ERCOT_demand_ERCOT_holiday
2021-01-01 00:00:00,11168.525005,1,1587.730775,1,3871.535088,1,861.787382,1,14198.042157,1,3503.378353,1,7826.044794,1,1486.503788,1,44503.547341,1
2021-01-01 01:00:00,11047.018793,1,1517.435253,1,3978.220628,1,838.352810,1,13575.277728,1,3545.093310,1,7778.262533,1,1440.188560,1,43719.849616,1
2021-01-01 02:00:00,10954.470339,1,1523.683893,1,3975.757045,1,825.123437,1,13340.337915,1,3586.547882,1,7693.744119,1,1421.385715,1,43321.050347,1
2021-01-01 03:00:00,10883.657240,1,1519.800916,1,3969.812081,1,819.551228,1,13311.625189,1,3586.124059,1,7566.951524,1,1405.544826,1,43063.067063,1
2021-01-01 04:00:00,10926.482445,1,1523.472963,1,3983.487761,1,820.612439,1,13356.442066,1,3570.592369,1,7506.685527,1,1402.283632,1,43090.059203,1
2021-01-01 05:00:00,11019.796399,1,1565.625573,1,3980.940744,1,831.607158,1,13528.651487,1,3590.902242,1,7563.971854,1,1405.094618,1,43486.590073,1
2021-01-01 06:00:00,11177.295498,1,1620.182536,1,3989.045927,1,846.885426,1,13856.236844,1,3647.147106,1,7716.803602,1,1411.722584,1,44265.319522,1
2021-01-01 07:00:00,11410.561091,1,1674.471044,1,4002.890462,1,871.252822,1,14264.483120,1,3739.704895,1,7899.134781,1,1427.790026,1,45290.288241,1
2021-01-01 08:00:00,11520.858079,1,1734.114479,1,4005.830334,1,892.653632,1,14561.962288,1,3762.622802,1,8021.636984,1,1448.145848,1,45947.824447,1
2021-01-01 09:00:00,11527.478175,1,1767.963394,1,3984.835018,1,909.838172,1,14834.580806,1,3738.518505,1,7878.398455,1,1449.030452,1,46090.642978,1
2021-01-01 10:00:00,11575.082495,1,1800.630833,1,3952.641191,1,927.238195,1,15226.184006,1,3661.655309,1,7614.075689,1,1421.224385,1,46178.732104,1
2021-01-01 11:00:00,11564.602693,1,1796.552473,1,3924.619580,1,930.782597,1,15511.869504,1,3574.501791,1,7341.170941,1,1378.110615,1,46022.210194,1
