date,hour,CEL,ORI,OCC,NOR,NES,NTE,PEN,SIN
2025-09-15,10,5580.2,5912.2,6471.6,3417.8,5862.0,3095.3,1684.1,32185.1
2025-09-15,11,5686.8,5983.2,6420.0,3619.2,5859.6,3133.0,1706.2,32563.4
2025-09-15,12,5726.8,6203.0,6489.7,3808.9,5959.0,3147.8,1738.7,33255.3
2025-09-15,13,5840.9,6359.5,6484.4,4017.9,6011.0,3191.3,1780.7,33901.0
2025-09-15,14,5935.0,6454.0,6552.2,4238.7,6114.9,3242.6,1831.8,34604.4
2025-09-15,15,5965.2,6516.2,6586.4,4470.7,6083.5,3301.9,1872.9,34925.0
2025-09-15,16,5912.0,6528.1,6696.5,4677.8,6096.4,3318.6,1928.7,35204.3
2025-09-15,17,5927.1,6553.4,6782.9,4806.4,6045.4,3350.0,1969.4,35426.5
2025-09-15,18,5966.7,6561.2,6856.7,4816.9,6021.8,3368.6,1981.0,35408.3
2025-09-15,19,6098.0,6911.6,6954.7,4672.9,6085.5,3359.6,2089.9,35882.4
2025-09-15,20,6182.1,7255.1,7191.0,4536.2,6137.4,3364.0,2122.0,36519.2
2025-09-15,21,6074.8,7123.6,7104.1,4567.8,6106.8,3346.6,2113.3,36021.7
2025-09-15,22,5887.1,6889.0,7016.7,4575.3,6068.3,3295.6,2093.1,35165.6
2025-09-15,23,5676.2,6683.2,6905.6,4503.2,5996.6,3248.3,2064.1,34220.5
2025-09-16,0,5436.5,6492.4,6759.6,4397.7,5943.1,3226.4,2047.2,33446.6
2025-09-16,1,5200.0,6286.1,6641.8,4257.7,5917.8,3186.0,2035.3,32521.9
2025-09-16,2,4897.0,6062.8,6538.3,4098.8,5861.6,3156.0,1985.1,31455.8
2025-09-16,3,4827.0,5844.3,6442.3,3929.0,5772.6,3139.8,1916.2,30629.1
2025-09-16,4,4610.4,5632.8,6429.4,3765.7,5707.7,3109.0,1848.7,29851.5
2025-09-16,5,4617.4,5477.9,6400.8,3611.2,5646.2,3096.4,1786.2,29322.5
2025-09-16,6,4508.8,5333.0,6401.8,3474.9,5616.9,3069.4,1699.2,28796.7
2025-09-16,7,4599.1,5031.7,6422.9,3359.3,5604.7,3055.9,1615.1,28260.6
2025-09-16,8,4510.8,4948.6,6391.4,3193.4,5564.6,3061.6,1626.6,27823.3
2025-09-16,9,4687.9,4999.6,6413.4,3193.4,5612.5,3040.3,1647.4,28319.8
2025-09-16,10,4800.4,5118.0,6428.6,3313.2,5666.1,3052.7,1672.7,28892.5
2025-09-16,11,5091.7,5296.6,6398.2,3490.0,5811.0,3069.8,1705.3,29788.0
2025-09-16,12,5191.6,5488.9,6421.6,3675.9,5890.7,3126.8,1745.3,30563.4
2025-09-16,13,5284.0,5638.6,6482.5,3871.9,5967.3,3171.7,1787.2,31193.6
2025-09-16,14,5288.7,5788.3,6553.7,4087.6,6037.3,3174.8,1824.5,31806.9
2025-09-16,15,5371.5,5884.7,6654.3,4311.2,6078.8,3209.5,1872.9,32406.4
2025-09-16,16,5387.1,5906.7,6760.9,4474.9,6082.8,3329.8,1934.0,32796.1
2025-09-16,17,5426.4,5926.9,6851.2,4576.6,6154.6,3334.3,1985.6,33259.4
2025-09-16,18,5579.5,5972.4,6953.8,4585.1,6174.7,3332.8,1968.7,33623.7
2025-09-16,19,5790.9,6483.1,7064.1,4471.3,6218.7,3323.0,2086.0,34512.5
2025-09-16,20,5990.0,6979.9,7317.8,4360.7,6393.2,3351.9,2161.7,35781.4
2025-09-16,21,6047.4,7039.7,7277.8,4432.7,6458.0,3344.7,2223.1,35977.8
2025-09-16,22,5912.0,6988.2,7201.9,4501.6,6463.5,3293.9,2248.9,35652.1
2025-09-16,23,5669.8,6773.1,7055.0,4489.2,6421.5,3274.1,2223.5,34720.5
