date,hour,CEL,ORI,OCC,NOR,NES,NTE,PEN,SIN
2026-09-15,10,6124.3,7137.7,6950.4,3998.2,6958.8,3810.0,2000.1,37525.8
2026-09-15,11,6277.7,7201.5,6859.6,4209.4,6888.9,3834.6,2021.4,37937.1
2026-09-15,12,6340.6,7411.8,7008.2,4426.3,7015.7,3888.8,2060.5,38893.1
2026-09-15,13,6537.1,7559.1,6991.4,4652.6,7065.3,3953.3,2111.5,39705.1
2026-09-15,14,6663.3,7647.9,7144.1,4861.5,7239.7,4031.0,2173.3,40586.1
2026-09-15,15,6720.8,7706.5,7183.5,5103.0,7165.2,4095.9,2215.8,41080.2
2026-09-15,16,6625.2,7715.3,7384.6,5304.9,7210.5,4174.1,2276.3,41511.0
2026-09-15,17,6655.4,7742.6,7554.4,5420.5,7081.0,4239.8,2325.1,41973.8
2026-09-15,18,6750.6,7754.4,7675.5,5399.9,6988.4,4295.8,2347.3,42265.9
2026-09-15,19,7008.2,8091.7,7905.8,5230.7,7242.5,4288.7,2456.5,43159.3
2026-09-15,20,7127.4,8421.2,8466.7,5091.4,7458.2,4328.6,2501.7,44140.5
2026-09-15,21,6942.3,8300.2,8129.8,5101.3,7381.0,4326.9,2501.0,43663.4
2026-09-15,22,6704.4,8087.0,7924.9,5033.4,7294.9,4263.2,2482.8,42801.7
2026-09-15,23,6379.9,7890.7,7727.1,4909.3,7147.9,4183.9,2455.8,41587.6
2026-09-16,0,6086.2,7710.0,7493.8,4778.8,7046.3,4091.2,2445.1,40479.8
2026-09-16,1,5722.9,7512.0,7293.1,4624.6,7027.8,4012.5,2432.0,39170.6
2026-09-16,2,5273.2,7303.7,7063.5,4488.1,6944.0,3928.1,2371.4,37802.1
2026-09-16,3,5202.5,7096.3,6906.9,4345.0,6795.8,3866.7,2295.6,36788.6
2026-09-16,4,4868.1,6896.2,6857.9,4186.7,6710.2,3816.8,2220.0,35717.1
2026-09-16,5,4890.2,6751.4,6765.8,4053.0,6610.6,3777.1,2150.3,35105.8
2026-09-16,6,4721.6,6615.9,6784.5,3940.0,6630.4,3756.9,2052.3,34506.6
2026-09-16,7,4847.5,6333.0,6804.5,3829.1,6642.7,3749.7,1957.9,34088.0
2026-09-16,8,4719.0,6250.9,6693.7,3649.2,6622.8,3741.4,1955.1,33592.7
2026-09-16,9,5007.4,6296.1,6788.6,3697.6,6734.6,3797.4,1970.6,34217.6
2026-09-16,10,5169.1,6407.4,6751.0,3838.4,6833.9,3862.7,1999.7,34941.5
2026-09-16,11,5604.8,6577.0,6678.2,3996.6,7139.4,3945.2,2035.5,36132.1
2026-09-16,12,5746.2,6758.3,6742.5,4185.2,7332.3,4036.8,2082.0,37034.8
2026-09-16,13,5890.5,6902.5,6861.3,4381.2,7452.7,4120.2,2133.9,38026.0
2026-09-16,14,5893.9,7044.3,6964.6,4611.0,7516.7,4204.0,2178.6,38830.2
2026-09-16,15,6021.1,7136.2,7210.3,4829.5,7513.6,4279.5,2232.4,39690.1
2026-09-16,16,6033.0,7159.1,7401.0,4925.7,7584.0,4357.8,2308.1,40253.8
2026-09-16,17,6109.0,7177.1,7661.2,4970.5,7716.7,4435.3,2367.9,40948.5
2026-09-16,18,6372.6,7221.8,7838.2,4944.7,7822.2,4506.3,2344.3,41599.2
2026-09-16,19,6724.0,7709.1,8063.0,4800.7,7960.8,4529.0,2465.4,42965.2
2026-09-16,20,6994.0,8170.5,8553.7,4706.5,8355.5,4591.3,2562.9,44779.0
2026-09-16,21,6981.4,8225.8,8335.9,4780.3,8416.6,4615.2,2642.9,45189.2
2026-09-16,22,6767.6,8176.0,8218.2,4784.7,8392.3,4555.0,2678.0,44712.8
2026-09-16,23,6443.0,7960.6,7920.3,4729.5,8306.3,4434.2,2647.8,43361.8
