ds,ERCOT_demand_COAST,ERCOT_demand_COAST_holiday,ERCOT_demand_EAST,ERCOT_demand_EAST_holiday,ERCOT_demand_FWEST,ERCOT_demand_FWEST_holiday,ERCOT_demand_NORTH,ERCOT_demand_NORTH_holiday,ERCOT_demand_NCENT,ERCOT_demand_NCENT_holiday,ERCOT_demand_SOUTH,ERCOT_demand_SOUTH_holiday,ERCOT_demand_SCENT,ERCOT_demand_SCENT_holiday,ERCOT_demand_WEST,ERCOT_demand_WEST_holiday,ERCOT_demand_ERCOT,ERCOT_demand_ERCOT_holiday
2016-01-01 01:00:00,9001.477932,1,1148.358788,1,2107.895986,1,788.543919,1,11409.339036,1,2829.993195,1,5479.057816,1,1088.091916,1,33852.758587,1
2016-01-01 02:00:00,8864.555456,1,1134.909662,1,2100.702470,1,782.355108,1,11235.174936,1,2830.075196,1,5405.955778,1,1080.369336,1,33434.097940,1
2016-01-01 03:00:00,8745.758728,1,1126.864026,1,2099.966167,1,781.237004,1,11151.965219,1,2789.470654,1,5334.159606,1,1069.644619,1,33099.066023,1
2016-01-01 04:00:00,8689.879755,1,1129.417663,1,2104.947864,1,785.264364,1,11209.701072,1,2757.999808,1,5302.938201,1,1073.658885,1,33053.807611,1
2016-01-01 05:00:00,8733.703094,1,1141.769602,1,2117.072608,1,790.248115,1,11428.716965,1,2769.678996,1,5364.298843,1,1096.410845,1,33441.899067,1
2016-01-01 06:00:00,8920.229391,1,1182.991022,1,2128.871251,1,805.198729,1,11833.212841,1,2820.740363,1,5577.242960,1,1131.919292,1,34400.405848,1
2016-01-01 07:00:00,9104.400775,1,1221.502146,1,2130.146522,1,827.827539,1,12257.015384,1,2886.142025,1,5795.663671,1,1173.048883,1,35395.746945,1
2016-01-01 08:00:00,9178.304708,1,1250.869603,1,2151.098178,1,853.270073,1,12599.726487,1,2915.773029,1,5937.463270,1,1207.806298,1,36094.311647,1
2016-01-01 09:00:00,9335.493911,1,1285.636461,1,2147.734187,1,871.236763,1,12923.804842,1,2986.186811,1,6077.226662,1,1230.409823,1,36857.729461,1
2016-01-01 10:00:00,9680.865161,1,1323.281279,1,2173.372268,1,880.669760,1,13269.181626,1,3123.548757,1,6353.441947,1,1252.474908,1,38056.835707,1
2016-01-01 11:00:00,10002.141162,1,1343.045202,1,2188.107358,1,870.791134,1,13272.906354,1,3247.579770,1,6577.393695,1,1259.083382,1,38761.048058,1
2016-01-01 12:00:00,10122.309275,1,1335.938130,1,2204.532096,1,849.068166,1,13189.617516,1,3352.406983,1,6590.333717,1,1236.068171,1,38880.274055,1
