unique_id,holiday_name,anchor_holiday_name,date,holiday_day_type,weekday_name,day_class_code,day_class_name,season,date_rule,is_fixed_date,is_observed_monday_rule,best_matching_weekday,daily_profile_cluster,daily_profile_cluster_id,daily_profile_archetype,event_profile_cluster,event_profile_cluster_id,analog_cluster,analog_cluster_criterion
ERCOT_demand_COAST,Martin Luther King Jr. Day,Martin Luther King Jr. Day,2016-01-18,H2,Monday,1,Weekday,Winter,relative_weekday_rule,False,False,,,,,,,L,best_matching_weekday
ERCOT_demand_COAST,Presidents' Day,Presidents' Day,2016-02-15,H2,Monday,1,Weekday,Winter,relative_weekday_rule,False,False,,,,,,,F,best_matching_weekday
ERCOT_demand_COAST,Texas Independence Day,Texas Independence Day,2016-03-02,H2,Wednesday,1,Weekday,Spring,fixed_date,True,False,,,,,,,L,best_matching_weekday
ERCOT_demand_COAST,San Jacinto Day,San Jacinto Day,2016-04-21,H2,Thursday,1,Weekday,Spring,fixed_date,True,False,Monday,A,0.0,Friday-like,D,1.0,G,best_matching_weekday
ERCOT_demand_COAST,Memorial Day,Memorial Day,2016-05-30,H2,Monday,1,Weekday,Spring,relative_weekday_rule,False,False,Sunday,A,0.0,Friday-like,E,2.0,I,best_matching_weekday
ERCOT_demand_COAST,Juneteenth National Independence Day,Juneteenth National Independence Day,2016-06-19,H2,Sunday,3,Sunday,Summer,fixed_date,True,False,,,,,,,G,best_matching_weekday
ERCOT_demand_COAST,Independence Day,Independence Day,2016-07-04,H2,Monday,1,Weekday,Summer,fixed_date,True,False,,,,,,,I,best_matching_weekday
ERCOT_demand_COAST,Lyndon B. Johnson Day,Lyndon B. Johnson Day,2016-08-27,H2,Saturday,2,Saturday,Summer,fixed_date,True,False,,,,,,,I,best_matching_weekday
ERCOT_demand_COAST,Labor Day,Labor Day,2016-09-05,H2,Monday,1,Weekday,Autumn,relative_weekday_rule,False,False,,,,,,,I,best_matching_weekday
ERCOT_demand_COAST,Veterans Day,Veterans Day,2016-11-11,H2,Friday,1,Weekday,Autumn,fixed_date,True,False,,,,,,,G,best_matching_weekday
ERCOT_demand_COAST,Thanksgiving Day,Thanksgiving Day,2016-11-24,H1,Thursday,1,Weekday,Autumn,relative_weekday_rule,False,False,Friday,A,0.0,Friday-like,D,1.0,F,best_matching_weekday
ERCOT_demand_COAST,Day after Thanksgiving,Day after Thanksgiving,2016-11-25,H2,Friday,1,Weekday,Autumn,relative_to_holiday_rule,False,False,,,,,,,G,best_matching_weekday
