unique_id,anchor_holiday_name,holiday_day_type,history_rows,history_years,inferred_best_matching_weekday,inferred_daily_profile_cluster,inferred_daily_profile_cluster_id,inferred_daily_profile_archetype,inferred_event_profile_cluster,inferred_event_profile_cluster_id
SEN_demand_CEL,Benito Juarez's Birthday,H2,4,4,Sunday,B,1,Sunday-like,E,2
SEN_demand_CEL,Christmas Day,H2,4,4,Sunday,B,1,Sunday-like,D,1
SEN_demand_CEL,Christmas Day,H4,4,4,Sunday,B,1,Sunday-like,D,1
SEN_demand_CEL,Christmas Eve,H1,4,4,Saturday,A,0,Friday-like,C,0
SEN_demand_CEL,Constitution Day,H2,4,4,Sunday,B,1,Sunday-like,E,2
SEN_demand_CEL,Good Friday,H2,4,4,Sunday,B,1,Sunday-like,E,2
SEN_demand_CEL,Holy Saturday,H3,4,4,Sunday,B,1,Sunday-like,E,2
SEN_demand_CEL,Holy Saturday,H4,4,4,Sunday,B,1,Sunday-like,E,2
SEN_demand_CEL,Independence Day,H2,4,4,Sunday,B,1,Sunday-like,E,2
SEN_demand_CEL,Labor Day,H2,4,4,Sunday,B,1,Sunday-like,C,0
SEN_demand_CEL,Maundy Thursday,H1,4,4,Saturday,A,0,Friday-like,C,0
SEN_demand_CEL,Mexican Revolution Day,H2,4,4,Sunday,B,1,Sunday-like,E,2
SEN_demand_CEL,New Year's Day,H2,1,1,Sunday,B,1,Sunday-like,D,1
SEN_demand_CEL,New Year's Day,H3,2,2,Sunday,B,1,Sunday-like,D,1
SEN_demand_CEL,New Year's Day,H4,2,2,Saturday,B,1,Sunday-like,D,1
SEN_demand_CEL,New Year's Eve,H1,2,2,Saturday,B,1,Sunday-like,E,2
SEN_demand_CEL,New Year's Eve,H2,2,2,Saturday,A,0,Friday-like,E,2
SEN_demand_NES,Benito Juarez's Birthday,H2,4,4,Saturday,B,1,unclear,C,0
SEN_demand_NES,Christmas Day,H2,4,4,Sunday,B,1,unclear,D,1
SEN_demand_NES,Christmas Day,H4,4,4,Sunday,B,1,unclear,D,1
SEN_demand_NES,Christmas Eve,H1,4,4,Saturday,A,0,Saturday-like,D,1
SEN_demand_NES,Constitution Day,H2,4,4,Sunday,B,1,unclear,D,1
SEN_demand_NES,Good Friday,H2,4,4,Saturday,B,1,unclear,C,0
SEN_demand_NES,Holy Saturday,H3,4,4,Sunday,B,1,unclear,D,1
SEN_demand_NES,Holy Saturday,H4,4,4,Sunday,B,1,unclear,D,1
SEN_demand_NES,Independence Day,H2,4,4,Sunday,A,0,Saturday-like,C,0
SEN_demand_NES,Labor Day,H2,4,4,Sunday,B,1,unclear,C,0
SEN_demand_NES,Maundy Thursday,H1,4,4,Saturday,A,0,Saturday-like,C,0
SEN_demand_NES,Mexican Revolution Day,H2,4,4,Sunday,B,1,unclear,C,0
SEN_demand_NES,New Year's Day,H2,1,1,Sunday,B,1,unclear,D,1
SEN_demand_NES,New Year's Day,H3,2,2,Sunday,B,1,unclear,D,1
SEN_demand_NES,New Year's Day,H4,2,2,Sunday,B,1,unclear,D,1
SEN_demand_NES,New Year's Eve,H1,2,2,Saturday,A,0,Saturday-like,D,1
SEN_demand_NES,New Year's Eve,H2,2,2,Saturday,B,1,unclear,D,1
SEN_demand_NOR,Benito Juarez's Birthday,H2,4,4,Tuesday,A,0,Wednesday-like,D,1
