unique_id,anchor_holiday_name,holiday_day_type,history_rows,history_years,inferred_best_matching_weekday,inferred_daily_profile_cluster,inferred_daily_profile_cluster_id,inferred_daily_profile_archetype,inferred_event_profile_cluster,inferred_event_profile_cluster_id
ERCOT_demand_COAST,Christmas Day,H2,9,9,Sunday,A,0,Friday-like,D,1
ERCOT_demand_COAST,Christmas Day,H4,9,9,Tuesday,B,1,Wednesday-like,D,1
ERCOT_demand_COAST,Christmas Eve,H1,9,9,Tuesday,B,1,Wednesday-like,D,1
ERCOT_demand_COAST,Day after Thanksgiving,H2,9,9,Monday,A,0,Friday-like,D,1
ERCOT_demand_COAST,Day after Thanksgiving,H4,9,9,Monday,A,0,Friday-like,D,1
ERCOT_demand_COAST,Independence Day,H2,9,9,Sunday,A,0,Friday-like,C,0
ERCOT_demand_COAST,Juneteenth National Independence Day,H2,9,9,Monday,A,0,Friday-like,C,0
ERCOT_demand_COAST,Labor Day,H2,9,9,Sunday,A,0,Friday-like,C,0
ERCOT_demand_COAST,Lyndon B. Johnson Day,H2,9,9,Sunday,A,0,Friday-like,C,0
ERCOT_demand_COAST,Martin Luther King Jr. Day,H2,10,10,Wednesday,B,1,Wednesday-like,D,1
ERCOT_demand_COAST,Memorial Day,H2,9,9,Sunday,A,0,Friday-like,E,2
ERCOT_demand_COAST,New Year's Day,H2,9,9,Sunday,A,0,Friday-like,D,1
ERCOT_demand_COAST,Presidents' Day,H2,10,10,Friday,B,1,Wednesday-like,E,2
ERCOT_demand_COAST,San Jacinto Day,H2,9,9,Monday,A,0,Friday-like,D,1
ERCOT_demand_COAST,Texas Independence Day,H2,10,10,Wednesday,A,0,Friday-like,D,1
ERCOT_demand_COAST,Thanksgiving Day,H1,9,9,Friday,A,0,Friday-like,D,1
ERCOT_demand_COAST,Veterans Day,H2,9,9,Monday,A,0,Friday-like,E,2
ERCOT_demand_EAST,Christmas Day,H2,9,9,Tuesday,A,0,unclear,D,1
ERCOT_demand_EAST,Christmas Day,H4,9,9,Tuesday,A,0,unclear,D,1
ERCOT_demand_EAST,Christmas Eve,H1,9,9,Saturday,A,0,Tuesday-like,D,1
ERCOT_demand_EAST,Day after Thanksgiving,H2,9,9,Wednesday,A,0,unclear,D,1
ERCOT_demand_EAST,Day after Thanksgiving,H4,9,9,Wednesday,A,0,unclear,D,1
ERCOT_demand_EAST,Independence Day,H2,9,9,Saturday,B,1,Tuesday-like,C,0
ERCOT_demand_EAST,Juneteenth National Independence Day,H2,9,9,Thursday,B,1,Tuesday-like,C,0
ERCOT_demand_EAST,Labor Day,H2,9,9,Sunday,B,1,Tuesday-like,C,0
ERCOT_demand_EAST,Lyndon B. Johnson Day,H2,9,9,Friday,B,1,Tuesday-like,E,2
ERCOT_demand_EAST,Martin Luther King Jr. Day,H2,10,10,Sunday,B,1,Tuesday-like,D,1
ERCOT_demand_EAST,Memorial Day,H2,9,9,Sunday,B,1,Tuesday-like,C,0
ERCOT_demand_EAST,New Year's Day,H2,9,9,Saturday,B,1,Tuesday-like,D,1
ERCOT_demand_EAST,Presidents' Day,H2,10,10,Friday,A,0,Tuesday-like,D,1
ERCOT_demand_EAST,San Jacinto Day,H2,9,9,Monday,B,1,Tuesday-like,C,0
ERCOT_demand_EAST,Texas Independence Day,H2,10,10,Wednesday,A,0,unclear,D,1
