ds,ERCOT_demand_COAST,ERCOT_demand_EAST,ERCOT_demand_FWEST,ERCOT_demand_NORTH,ERCOT_demand_NCENT,ERCOT_demand_SOUTH,ERCOT_demand_SCENT,ERCOT_demand_WEST,ERCOT_demand_ERCOT
2016-01-01 00:00:00,9.87,6.9,1.16,4.2,6.725,12.09,9.9,4.54,7.906
2016-01-01 01:00:00,9.425,6.7,1.18,3.7,6.355,11.905,9.65,4.33,7.594
2016-01-01 02:00:00,8.975,5.92,0.22,2.6,5.6,11.685,8.8,3.395,6.918
2016-01-01 03:00:00,8.93,5.56,0.12,2.4,5.265,11.69,8.6,3.14,6.74
2016-01-01 04:00:00,8.8,5.22,-0.08,2.1,4.885,11.44,8.35,2.84,6.483
2016-01-01 05:00:00,8.67,5.06,-0.12,1.6,4.36,10.945,8.1,2.585,6.181
2016-01-01 06:00:00,8.64,4.7,-0.12,1.3,3.96,10.57,7.85,2.275,5.954
2016-01-01 07:00:00,8.64,4.5,-0.22,1.0,3.625,10.21,7.55,1.975,5.744
2016-01-01 08:00:00,8.64,4.3,-0.28,0.8,3.235,10.02,7.3,1.565,5.543
2016-01-01 09:00:00,8.625,4.18,-0.38,0.8,3.025,9.83,7.15,1.41,5.418
2016-01-01 10:00:00,8.725,4.68,-0.44,1.9,3.69,9.775,7.05,1.63,5.668
2016-01-01 11:00:00,9.295,5.44,-0.24,3.2,4.865,9.7,7.2,2.225,6.289
2016-01-01 12:00:00,10.08,6.54,0.04,4.7,6.17,9.61,7.25,2.935,7.019
2016-01-01 13:00:00,10.44,7.6,0.4,5.9,7.205,9.585,7.4,3.555,7.567
2016-01-01 14:00:00,9.685,8.16,0.44,6.2,7.56,8.64,7.35,4.145,7.425
2016-01-01 15:00:00,10.295,8.6,0.84,6.7,8.045,8.585,7.5,4.63,7.838
2016-01-01 16:00:00,10.68,8.7,0.94,7.2,8.27,8.52,7.6,4.83,8.053
2016-01-01 17:00:00,10.525,8.34,0.96,7.1,8.17,8.42,7.75,4.92,7.986
2016-01-01 18:00:00,10.395,7.66,0.88,6.6,7.69,8.295,7.7,4.71,7.739
2016-01-01 19:00:00,10.04,6.74,0.68,5.4,6.745,8.115,7.65,4.445,7.248
2016-01-01 20:00:00,9.84,5.96,0.42,4.1,5.925,8.055,7.65,3.73,6.84
2016-01-01 21:00:00,9.74,5.46,0.32,3.0,5.485,7.995,7.65,3.235,6.609
2016-01-01 22:00:00,9.555,5.12,-0.06,2.0,5.15,7.97,7.7,2.905,6.383
2016-01-01 23:00:00,9.355,4.88,-0.48,1.4,4.88,7.935,7.65,2.74,6.169
2016-01-02 00:00:00,9.155,4.54,-0.5,1.0,4.43,7.83,7.5,2.65,5.921
2016-01-02 01:00:00,8.885,4.24,-0.46,0.7,4.215,7.775,7.3,2.705,5.732
2016-01-02 02:00:00,7.93,3.86,-0.54,0.7,3.965,7.215,6.45,2.91,5.195
2016-01-02 03:00:00,7.815,3.7,-0.62,0.6,3.675,7.225,6.3,2.92,5.037
2016-01-02 04:00:00,7.63,3.34,-0.76,0.8,4.015,7.17,6.25,2.93,5.055
2016-01-02 05:00:00,7.63,3.2,-0.96,0.8,4.24,7.15,6.2,2.885,5.088
2016-01-02 06:00:00,7.63,3.32,-1.06,1.1,4.51,7.075,6.1,2.94,5.15
2016-01-02 07:00:00,7.445,3.48,-0.88,1.8,4.745,6.955,6.05,2.995,5.192
2016-01-02 08:00:00,6.935,3.9,-1.04,2.0,4.79,6.89,6.0,3.05,5.056
2016-01-02 09:00:00,7.09,4.24,-1.2,2.2,4.89,6.805,5.95,3.04,5.115
2016-01-02 10:00:00,7.845,4.9,-0.94,2.9,5.35,6.805,5.9,3.405,5.528
2016-01-02 11:00:00,8.415,5.48,0.7,4.0,5.92,6.92,5.95,3.97,6.091
2016-01-02 12:00:00,9.215,6.08,1.78,5.3,6.545,6.89,5.95,4.645,6.67
2016-01-02 13:00:00,9.56,6.76,2.88,6.8,7.27,6.955,5.85,5.245,7.152
2016-01-02 14:00:00,9.945,7.58,3.52,8.9,8.47,6.565,6.7,6.77,7.904
2016-01-02 15:00:00,10.315,7.88,4.0,9.8,8.94,6.585,6.95,7.125,8.276
2016-01-02 16:00:00,10.755,7.98,4.38,10.1,9.04,6.615,7.0,7.38,8.492
2016-01-02 17:00:00,10.755,8.04,4.32,10.2,9.005,6.55,7.0,7.425,8.476
2016-01-02 18:00:00,10.37,7.76,3.84,9.5,8.745,6.53,6.7,7.46,8.171
2016-01-02 19:00:00,9.725,7.46,2.82,7.9,8.34,6.475,6.35,6.975,7.652
2016-01-02 20:00:00,9.58,7.22,1.72,6.0,7.865,6.5,6.1,6.49,7.261
2016-01-02 21:00:00,9.365,7.02,0.12,4.7,7.35,6.535,5.95,5.805,6.817
2016-01-02 22:00:00,9.055,6.98,-0.96,3.6,6.91,6.615,5.9,4.995,6.446
2016-01-02 23:00:00,8.46,6.92,-1.74,2.8,6.65,6.595,5.85,4.095,6.074
2016-01-03 00:00:00,7.935,6.88,-2.52,2.0,6.28,6.63,5.8,3.295,5.696
2016-01-03 01:00:00,7.395,6.68,-2.66,1.3,5.83,6.675,5.8,2.415,5.354
