unique_id,target_date,anchor,day_type,weekday,actual_mean,work_mean,hol_mean,actual_drop_pct,typical_drop_pct,observed_strength,corr_work,corr_hol,n_work_days,n_hol_years,model_mape24_med,model_mpe24_med
SEN_demand_CEL,2025-01-01,New Year's Day,H3,Wednesday,4711.5,6932.0,4801.6,32.03,30.73,1.042,0.585,0.993,7,3,4.738178392598344,-3.390251497859502
SEN_demand_CEL,2025-02-03,Constitution Day,H2,Monday,5834.9,6788.6,5805.2,14.05,14.48,0.97,0.84,0.987,8,5,2.919948911453355,-1.3081097104205341
SEN_demand_CEL,2025-03-17,Benito Juarez's Birthday,H2,Monday,5910.4,6834.4,6015.7,13.52,11.98,1.129,0.855,0.989,8,5,1.8612268280316075,-1.235286294422352
SEN_demand_CEL,2025-04-17,Maundy Thursday,H1,Thursday,6333.0,7221.2,6238.3,12.3,13.61,0.904,0.923,0.987,7,5,4.185606172251909,4.177108925528286
SEN_demand_CEL,2025-04-18,Good Friday,H2,Friday,5822.1,7119.4,5642.8,18.22,20.74,0.879,0.842,0.987,8,5,2.589520172600158,-0.9735398061515506
SEN_demand_CEL,2025-04-19,Holy Saturday,H3,Saturday,5887.0,6698.7,5660.6,12.12,15.5,0.782,0.965,0.988,8,5,2.0971850161591448,1.5747019074520652
SEN_demand_CEL,2025-05-01,Labor Day,H2,Thursday,6316.7,7239.6,6037.9,12.75,16.6,0.768,0.822,0.97,7,5,5.612858411204288,-5.301902363901414
SEN_demand_CEL,2025-09-16,Independence Day,H2,Tuesday,5431.9,6980.5,5556.2,22.18,20.4,1.087,0.773,0.988,8,4,10.41331986873055,-10.41331986873055
SEN_demand_CEL,2025-11-17,Mexican Revolution Day,H2,Monday,6003.4,6816.2,5910.1,11.92,13.29,0.897,0.877,0.995,8,4,3.018231768550647,1.6025556563580774
SEN_demand_CEL,2025-12-24,Christmas Eve,H1,Wednesday,6025.1,7094.7,5838.3,15.07,17.71,0.851,0.802,0.965,7,4,3.589077979840936,-0.34648570937786205
SEN_demand_CEL,2025-12-25,Christmas Day,H2,Thursday,5019.5,7085.1,4882.6,29.15,31.09,0.938,0.679,0.995,7,4,5.046634334218615,-2.784025340415063
SEN_demand_CEL,2025-12-31,New Year's Eve,H1,Wednesday,5803.3,7138.1,5468.0,18.7,23.4,0.799,0.846,0.949,7,2,2.6104768652204413,2.6075894205820775
SEN_demand_CEL,2026-01-01,New Year's Day,H3,Thursday,4923.3,7103.2,4723.6,30.69,33.5,0.916,0.608,0.994,7,3,1.9442149600925551,1.7032930212372368
SEN_demand_CEL,2026-02-02,Constitution Day,H2,Monday,5988.5,6875.0,5794.3,12.89,15.72,0.82,0.844,0.988,8,5,2.005574177763883,-1.1331136120507852
SEN_demand_CEL,2026-03-16,Benito Juarez's Birthday,H2,Monday,6245.6,6964.5,5930.1,10.32,14.85,0.695,0.88,0.988,8,5,1.6845422838410034,1.438296613820766
SEN_demand_CEL,2026-04-02,Maundy Thursday,H1,Thursday,6447.2,7298.8,6234.1,11.67,14.59,0.8,0.928,0.99,8,5,1.2272161574216405,0.7914486458923167
SEN_demand_CEL,2026-04-03,Good Friday,H2,Friday,5913.8,7244.5,5642.8,18.37,22.11,0.831,0.793,0.984,7,5,1.3378733672982777,-0.4368503868072143
SEN_demand_CEL,2026-04-04,Holy Saturday,H3,Saturday,5987.7,6814.9,5659.6,12.14,16.95,0.716,0.959,0.97,8,5,1.6412359448425433,0.2996541908032603
